fan,view,video,isOffice
4320000,346285798,473,1
3080000,209998425,147,0
3030000,451776566,1221,1
2410000,550546651,1003,1
2240000,557869392,1351,1
2230000,450665226,778,1
2140000,396536262,2020,1
2080000,101751544,316,1
2070000,845949188,772,1
1980000,281382151,815,1
1900000,550064937,667,1
1820000,626193862,624,0
1810000,290980945,520,1
1780000,345814461,1128,1
1760000,151600260,300,1
1740000,156410917,810,1
1680000,214239308,912,1
1610000,308866801,906,1
1570000,155494969,368,0
1550000,145321349,403,1
1530000,626682570,1516,1
1530000,91331441,104,0
1520000,125354635,561,1
1510000,138254072,171,0
1500000,262866714,1021,1
1470000,275294458,3414,0
1460000,366701421,727,0
1460000,180686366,873,1
1450000,183315300,359,0
1440000,189812828,990,1
1420000,198332903,1065,1
1410000,106175846,280,1
1400000,297797451,1360,1
1370000,625537632,1719,1
1370000,285616433,1236,1
1360000,149643096,1063,1
1330000,175034052,833,1
1330000,90178105,435,1
1310000,98222129,710,1
1300000,97082763,175,0
1280000,69984644,913,1
1260000,444238595,3181,0
1260000,208288218,1024,1
1250000,73338364,808,0
1230000,2403347,68,0
1160000,401508720,2997,1
1130000,181186843,966,1
1130000,154658683,546,1
1110000,181388977,1003,1
1110000,93006163,323,1
1100000,339060666,799,1
1100000,144314979,823,1
1100000,143166523,909,1
1090000,100834783,384,1
1080000,77674395,389,1
1070000,138372025,253,1
1070000,105240556,599,0
1060000,115170305,772,1
1050000,262060627,722,0
1050000,180486459,450,0
1010000,78933932,403,1
1000000,207812845,392,0
1000000,38210454,50,0
998000,63422918,171,0
992000,141501319,1185,1
982000,120896462,962,0
980000,56458500,72,0
978000,60960701,652,1
971000,122810304,384,1
940000,43323861,321,1
933000,187438957,1116,1
931000,77013982,355,1
930000,79789904,814,1
925000,83300715,1306,1
924000,294964996,1161,1
922000,131135371,194,0
921000,63826826,370,0
914000,188268353,1041,1
902000,161906387,438,1
896000,44401403,315,1
871000,111181752,113,1
867000,56160366,294,1
861000,63179534,229,0
855000,67242893,352,1
836000,13913948,36,1
832000,193721910,1067,1
831000,46806958,532,1
826000,465814880,3020,1
825000,58463614,802,1
823000,284349509,1094,1
